type,date,revenue,production,coolDD,heatDD
dt4training,2011-01-31,23304096,659640,0,1021
dt4training,2011-02-28,24552000,686144,0,794
dt4training,2011-03-31,14804728,416464,0,714
dt4training,2011-04-30,11265320,324456,1,354
dt4training,2011-05-31,5945904,151104,72,114
dt4training,2011-06-30,10379712,479264,239,4
dt4training,2011-07-31,13617528,708472,486,0
dt4training,2011-08-31,14092512,687728,346,0
dt4training,2011-09-30,12085472,567424,195,19
dt4training,2011-10-31,11957032,392328,24,223
dt4training,2011-11-30,10153800,254504,0,383
dt4training,2011-12-31,15093880,358888,0,662
dt4training,2012-01-31,22474848,566528,0,846
dt4training,2012-02-29,18027296,473016,0,680
dt4training,2012-03-31,14575856,410248,0,438
dt4training,2012-04-30,9064488,264424,18,294
dt4training,2012-05-31,6582400,217264,102,69
dt4training,2012-06-30,10418400,499288,254,11
dt4training,2012-07-31,14122824,732520,484,0
dt4training,2012-08-31,14779280,725056,430,0
dt4training,2012-09-30,12003432,608376,184,9
dt4training,2012-10-31,4809952,369656,31,173
dt4training,2012-11-30,7439448,192032,0,591
dt4training,2012-12-31,18035344,420920,0,681
dt4training,2013-01-31,20113488,531336,0,899
dt4training,2013-02-28,23725040,587704,0,851
dt4training,2013-03-31,20387368,505272,0,755
dt4training,2013-04-30,17811224,427312,0,366
dt4training,2013-05-31,6082328,155032,87,128
dt4training,2013-06-30,12064192,394400,278,4
dt4training,2013-07-31,16033016,749152,505,0
dt4training,2013-08-31,14311800,642688,340,0
dt4training,2013-09-30,12291192,594184,129,31
dt4training,2013-10-31,9845128,372080,49,172
dt4training,2013-11-30,8933832,292648,0,577
dt4training,2013-12-31,17613912,562320,0,826
dt4testing,2014-01-31,19228840,606400,0,1123
dt4testing,2014-02-28,26792280,714128,0,938
dt4testing,2014-03-31,19935840,805600,0,866
dt4testing,2014-04-30,13468000,375856,0,412
dt4testing,2014-05-31,7344128,279296,49,88
dt4testing,2014-06-30,11196216,517600,230,0
dt4testing,2014-07-31,13929472,749472,380,0
dt4testing,2014-08-31,12352176,663432,322,0
dt4testing,2014-09-30,12628944,701656,178,14
dt4testing,2014-10-31,9361000,411728,24,166
dt4testing,2014-11-30,10164048,293536,0,579
dt4testing,2014-12-31,18377456,567048,0,752
